ID,Name,ShortName,Type,Colour,Mouseover,ReductionYear1,ReductionYear2,ReductionYear3,ReductionYear4,ReductionYear5,ReductionYear6,ReductionYear7,ReductionYear8,ReductionYear9,ReductionYear10,ReductionYear11,ReductionYear12,ReductionYear13,ReductionYear14,ReductionYear15,,,,,,,,,,,,,,,,
1,EP-Advanced energy efficient equipment ,Equipment,field,#00cdcd,"High efficient and innovative technology including LED lighting, new heating and cooling systems and energy efficient home appliances.",0.00,1.71,3.42,5.12,6.83,8.54,10.25,11.95,13.66,15.37,17.08,17.08,17.08,17.08,17.08,,,,,,,,,,,,,,,,
2,EP-Advanced industrial energy efficiency,Industrial,field,#009a9a,Deploying the latest energy efficient technologies in new and existing industrial facilities to reduce the demand for energy and other resources. Data driven technologies such as advanced control and optimisation offer energy savings at low cost,0.00,2.11,4.21,6.32,8.42,10.53,12.64,14.74,16.85,18.95,21.06,21.06,21.06,21.06,21.06,,,,,,,,,,,,,,,,
3,EP-Smart buildings,Smart,field,#004d4d,"Intelligent systems and processes will use real time data to monitor, manage and control the consumption of resources. This will result in less consumption of energy and other resources (e.g. fresh water), and less waste. All will lower greenhouse gas emissions.",0.00,1.41,2.83,4.24,5.66,7.07,8.49,9.90,11.32,12.73,14.14,14.14,14.14,14.14,14.14,,,,,,,,,,,,,,,,
4,EP-Low carbon transport,,field,#b2d5d8,A range of actions can be undertaken to improve the energy performance of Australia's vehicle fleet. A good start is the implementation of minimum fleet fuel efficiency standards which have worked effectively elsewhere in the world. The introduction of biofuels will further reduce the emissions associated with transport. Improvements in the utilisation of heavy vehicles and also commercial aircraft through advanced management systems also offer improvements in emissions performance., ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.1,Heavy vehicle,Heavy,dropdown,#b2d5d8,A range of actions can be undertaken to improve the energy performance of Australia's vehicle fleet. A good start is the implementation of minimum fleet fuel efficiency standards which have worked effectively elsewhere in the world. The introduction of biofuels will further reduce the emissions associated with transport. Improvements in the utilisation of heavy vehicles and also commercial aircraft through advanced management systems also offer improvements in emissions performance.,0.00,3.94,7.88,11.81,15.75,19.69,23.63,27.57,31.50,35.44,39.38,39.38,39.38,39.38,39.38,,,,,,,,,,,,,,,,
4.2,Light vehicle,Light,dropdown,#b2d5d8,A range of actions can be undertaken to improve the energy performance of Australia's vehicle fleet. A good start is the implementation of minimum fleet fuel efficiency standards which have worked effectively elsewhere in the world. The introduction of biofuels will further reduce the emissions associated with transport. Improvements in the utilisation of heavy vehicles and also commercial aircraft through advanced management systems also offer improvements in emissions performance.,0.00,3.28,6.56,9.84,13.13,16.41,19.69,22.97,26.25,29.53,32.82,32.82,32.82,32.82,32.82,,,,,,,,,,,,,,,,
4.3,Aviation,Aviation,dropdown,#b2d5d8,A range of actions can be undertaken to improve the energy performance of Australia's vehicle fleet. A good start is the implementation of minimum fleet fuel efficiency standards which have worked effectively elsewhere in the world. The introduction of biofuels will further reduce the emissions associated with transport. Improvements in the utilisation of heavy vehicles and also commercial aircraft through advanced management systems also offer improvements in emissions performance.,0.00,6.56,13.13,19.69,26.25,32.82,39.38,45.94,52.50,59.07,65.63,65.63,65.63,65.63,65.63,,,,,,,,,,,,,,,,
5,EP-Electric vehicles,,field,#007580,"Electric vehicles are a disruptive technology and rapidly approaching the point where they are cheaper to buy and to operate compared to an internal combustion engine (ICE) vehicles. Once they reach that point, EVs are expected to rapidly displace ICE vehicles. The BAU model considers a conservative uptake of EVs. The 'rapid deployment' option assumes that over a five year period, the market share of EVs rises from 0% to 75% and then remains constant at 75%.", ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.1,BAU,BAU,dropdown,#007580,"Electric vehicles are a disruptive technology and rapidly approaching the point where they are cheaper to buy and to operate compared to an internal combustion engine (ICE) vehicles. Once they reach that point, EVs are expected to rapidly displace ICE vehicles. The BAU model considers a conservative uptake of EVs. The 'rapid deployment' option assumes that over a five year period, the market share of EVs rises from 0% to 75% and then remains constant at 75%.",0.00,0.04,0.08,0.13,0.17,0.21,0.25,0.29,0.33,0.38,0.42,0.42,0.42,0.42,0.42,,,,,,,,,,,,,,,,
5.2,Rapid deployment,Deployment,dropdown,#007580,"Electric vehicles are a disruptive technology and rapidly approaching the point where they are cheaper to buy and to operate compared to an internal combustion engine (ICE) vehicles. Once they reach that point, EVs are expected to rapidly displace ICE vehicles. The BAU model considers a conservative uptake of EVs. The 'rapid deployment' option assumes that over a five year period, the market share of EVs rises from 0% to 75% and then remains constant at 75%.",0.00,0.32,0.96,1.92,3.21,4.81,6.41,8.02,9.62,11.22,12.83,12.83,12.83,12.83,12.83,,,,,,,,,,,,,,,,
6,EP-Solar PV,Solar,field,#66B9BF,"Solar PV is already cost effective for many consumers given current prices for solar panels and for electricity. So solar PV will continue to expand with or without incentives. The option assumes that the economics for solar PV become even more attractive, whether as a result of further reduction in the cost or as a result of positive government incentives.",0.00,0.93,1.86,2.79,3.72,4.65,5.58,6.51,7.44,8.37,9.30,9.30,9.30,9.30,9.30,,,,,,,,,,,,,,,,
7,EP-Green cities,,field,#07889B,"Building efficient cities. This includes constructing efficient homes and work places designed for passive heating and cooling, use better building products generate renewable energy and incorporate energy storage.  The measure also includes better ways to construct buildings through the use of pre-fabricated materials. The measure also looks at the integration of homes, workplaces and transport to reduce the load on our transport systems. This is achieved through an integrated approach to new developments and infrastructure that results in more efficient precincts.", ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.1,Low carbon precincts,Precincts,dropdown,#07889B,"Building efficient cities. This includes constructing efficient homes and work places designed for passive heating and cooling, use better building products generate renewable energy and incorporate energy storage.  The measure also includes better ways to construct buildings through the use of pre-fabricated materials. The measure also looks at the integration of homes, workplaces and transport to reduce the load on our transport systems. This is achieved through an integrated approach to new developments and infrastructure that results in more efficient precincts.",0.00,2.11,4.22,6.33,8.44,10.55,12.66,14.77,16.88,18.99,21.10,21.10,21.10,21.10,21.10,,,,,,,,,,,,,,,,
7.2,Low carbon homes,Homes,dropdown,#07889B,"Building efficient cities. This includes constructing efficient homes and work places designed for passive heating and cooling, use better building products generate renewable energy and incorporate energy storage.  The measure also includes better ways to construct buildings through the use of pre-fabricated materials. The measure also looks at the integration of homes, workplaces and transport to reduce the load on our transport systems. This is achieved through an integrated approach to new developments and infrastructure that results in more efficient precincts.",0.00,1.69,3.38,5.06,6.75,8.44,10.13,11.82,13.50,15.19,16.88,16.88,16.88,16.88,16.88,,,,,,,,,,,,,,,,
8,Gen-Improve generator efficiency,Generator,field,#4d004d,Actions are focused on improving the performance of the existing fleet of generators and networks. Items include encouraging the deployment of battery storage to all the grids to work more efficiently and undertaking operational and capital improvements to generators to improve their efficiency.,0.00,2.79,5.57,8.36,11.14,13.93,16.72,19.50,22.29,25.07,27.86,27.86,27.86,27.86,27.86,,,,,,,,,,,,,,,,
9,Gen-Biomass co-firing,Biomass,field,#B493B4,One easy way to reduce emissions associated with power generation is to substitute biomass derived from sustainable sources for coal in the boilers. Large boilers used in power stations can accept a few percent of biomass without modification.,0.00,0.30,0.59,0.89,1.19,1.49,1.78,2.08,2.38,2.68,2.97,2.97,2.97,2.97,2.97,,,,,,,,,,,,,,,,
10,Gen-Decarbonising,,field,#824C82,"The decarbonising of power generation is one of the key actions that can reduce national greenhouse gas emissions. The objective is to reduce the amount of electricity from coal fired power stations (especially those using brown coal) and increase in the amount of electricity from renewable sources. The various options in the drop-down list include simply shutting down a brown coal fired power station, shutting down a power station and ensuring that its capacity is replaced by wind turbines, doubling or tripling the existing RET while forcing the shut down of coal fired power stations. Note that the expansion of the RET itself will force the closure of some power stations as they will no long be able to operate effectively.", ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1,Shut 1 brown gen,Shut1Brown,dropdown,#824C82,"The decarbonising of power generation is one of the key actions that can reduce national greenhouse gas emissions. The objective is to reduce the amount of electricity from coal fired power stations (especially those using brown coal) and increase in the amount of electricity from renewable sources. The various options in the drop-down list include simply shutting down a brown coal fired power station, shutting down a power station and ensuring that its capacity is replaced by wind turbines, doubling or tripling the existing RET while forcing the shut down of coal fired power stations. Note that the expansion of the RET itself will force the closure of some power stations as they will no long be able to operate effectively.",0.00,7.11,7.11,7.11,7.11,7.11,7.11,7.11,7.11,7.11,7.11,7.11,7.11,7.11,7.11,,,,,,,,,,,,,,,,
10.2,Shut 1 with wind,Shut1Wind,dropdown,#824C82,"The decarbonising of power generation is one of the key actions that can reduce national greenhouse gas emissions. The objective is to reduce the amount of electricity from coal fired power stations (especially those using brown coal) and increase in the amount of electricity from renewable sources. The various options in the drop-down list include simply shutting down a brown coal fired power station, shutting down a power station and ensuring that its capacity is replaced by wind turbines, doubling or tripling the existing RET while forcing the shut down of coal fired power stations. Note that the expansion of the RET itself will force the closure of some power stations as they will no long be able to operate effectively.",0.00,1.72,3.44,5.16,6.88,8.60,10.32,12.04,13.76,15.48,17.20,17.20,17.20,17.20,17.20,,,,,,,,,,,,,,,,
10.3,Double RET,2xRET,dropdown,#824C82,"The decarbonising of power generation is one of the key actions that can reduce national greenhouse gas emissions. The objective is to reduce the amount of electricity from coal fired power stations (especially those using brown coal) and increase in the amount of electricity from renewable sources. The various options in the drop-down list include simply shutting down a brown coal fired power station, shutting down a power station and ensuring that its capacity is replaced by wind turbines, doubling or tripling the existing RET while forcing the shut down of coal fired power stations. Note that the expansion of the RET itself will force the closure of some power stations as they will no long be able to operate effectively.",0.00,2.78,5.56,8.34,11.12,13.90,16.68,19.46,22.24,25.02,27.80,27.80,27.80,27.80,27.80,,,,,,,,,,,,,,,,
10.4,Double RET shut 1,2xRETShut1,dropdown,#824C82,"The decarbonising of power generation is one of the key actions that can reduce national greenhouse gas emissions. The objective is to reduce the amount of electricity from coal fired power stations (especially those using brown coal) and increase in the amount of electricity from renewable sources. The various options in the drop-down list include simply shutting down a brown coal fired power station, shutting down a power station and ensuring that its capacity is replaced by wind turbines, doubling or tripling the existing RET while forcing the shut down of coal fired power stations. Note that the expansion of the RET itself will force the closure of some power stations as they will no long be able to operate effectively.",0.00,2.78,5.56,8.34,11.12,13.90,23.79,26.57,29.35,32.13,34.91,34.91,34.91,34.91,34.91,,,,,,,,,,,,,,,,
10.5,Triple RET shut 2,3xRETShut2,dropdown,#824C82,"The decarbonising of power generation is one of the key actions that can reduce national greenhouse gas emissions. The objective is to reduce the amount of electricity from coal fired power stations (especially those using brown coal) and increase in the amount of electricity from renewable sources. The various options in the drop-down list include simply shutting down a brown coal fired power station, shutting down a power station and ensuring that its capacity is replaced by wind turbines, doubling or tripling the existing RET while forcing the shut down of coal fired power stations. Note that the expansion of the RET itself will force the closure of some power stations as they will no long be able to operate effectively.",0.00,4.85,16.81,21.65,26.50,38.46,43.31,48.16,53.00,57.85,62.70,62.70,62.70,62.70,62.70,,,,,,,,,,,,,,,,
11,Alternative Waste Treatment,Waste,field,#ffe67f,"Alternative water treatments including waste to energy, solid waste alternatives and enhanced recycling.",0.00,0.61,1.22,1.82,2.43,3.04,3.65,4.26,4.86,5.47,6.08,6.08,6.08,6.08,6.08,,,,,,,,,,,,,,,,
12,Management of synthetic gases,Gases,field,#DF2B4F,Many of the gases that are substitutes for ozone depleting gases have a significant global warming potential. These gases are generally used in refrigerators and fire suppression systems. Substitutes for these gases are now available and the managed phasing out of refrigerants with high global warming potential will result in reductions in national emissions.,0.00,0.97,1.94,2.91,3.88,4.85,5.82,6.79,7.76,8.73,9.70,9.70,9.70,9.70,9.70,,,,,,,,,,,,,,,,
13,Reductions to fugitive emissions,Emissions,field,#8ae1ff,"The extraction of coal and natural gas leads to the emission of methane. These are 'fugitive  emissions'. Methane has around 25 times the global warming potential of CO2. Actions such as improved recovery of coal mine waste gas, tighter management of natural gas operations and combustion of vented methane can all reduce the impact of fugitive emissions.",0.00,1.16,2.33,3.49,4.66,5.82,6.98,8.15,9.31,10.48,11.64,11.64,11.64,11.64,11.64,,,,,,,,,,,,,,,,
14,Land-Advanced farming methods,Farming,field,#7fbf7f,Agriculture is responsible for around 15% of Australia's emissions. The majority of emissions in the sector are from enteric fermentation i.e. methane emissions from cattle and sheep. Treatments and stock management processes are available to reduce these emissions. Other emissions from agriculture are associated with changes to soils and measures can be taken to reduce these impacts. This includes restoration of degraded farmland.,0.00,1.11,2.22,3.32,4.43,5.54,6.65,7.76,8.86,9.97,11.08,11.08,11.08,11.08,11.08,,,,,,,,,,,,,,,,
15,Land-Advanced forest management,Forest,field,#265326,"Forests are a major carbon sink and if correctly managed can gradually increase the amount of carbon stored. The options available to reduce emissions by sources and/or to increase removals by sinks in the forest sector are grouped into four general categories: (1) maintaining or increasing the forest area through reduction of deforestation and degradation and through afforestation/reforestation; (2) maintaining or increasing the stand-level carbon density (tonnes of carbon per ha) through the reduction of forest degradation and through planting, site preparation, tree improvement, fertilization, uneven-aged stand management, or other appropriate silviculture techniques; (3)maintaining or increasing the landscape-level carbon density using forest conservation, longer forest rotations, fire management, and protection against insects; (4)increasing off-site carbon stocks in wood products and enhancing product and fuel substitution using forest-derived biomass to substitute products with high fossil fuel requirements, and increasing the use of biomass-derived energy to substitute fossil fuels.",0.00,2.33,4.66,6.99,9.32,11.66,13.99,16.32,18.65,20.98,23.31,23.31,23.31,23.31,23.31,,,,,,,,,,,,,,,,
16,Land-Better management of pastures,Pastures,field,#979C7A,"Nitrous oxide (N2O) has more than 300 times the global warming potential of CO2, and farmland is the main source of N2O. Measures such as better management of fertilisers, and management of pastures to reduce fertiliser demand will reduce N2O emissions. Reducing tillage, correct use of irrigation and incorporation of stubble into soils will also reduce greenhouse emissions.",0.00,1.95,3.91,5.86,7.82,9.77,11.73,13.68,15.64,17.59,19.55,19.55,19.55,19.55,19.55,,,,,,,,,,,,,,,,
17,Land-Reduced deforestation,Deforestation,field,#475014,Reducing the rate of land clearing.,0.00,1.61,3.22,4.83,6.44,8.05,9.66,11.27,12.88,14.49,16.10,16.10,16.10,16.10,16.10,,,,,,,,,,,,,,,,
18,Land-Reforestation,Reforestation,field,#517551,,0.00,2.79,5.58,8.37,11.16,13.95,16.73,19.52,22.31,25.10,27.89,27.89,27.89,27.89,27.89,,,,,,,,,,,,,,,,
